stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
008951,Béke tér,47.430019,19.215675,,,008951,2.0,-64.0,11,0.0,1
F03807,Szent László utca,47.441814,19.207651,,,F03807,2.0,30.0,12,0.0,1
F03851,Selmecbánya utca,47.438409,19.20479,,,F03851,2.0,29.0,13,0.0,1
F03809,Szent László utca,47.439856,19.211861,,,F03809,2.0,-157.0,15,0.0,1
F03814,Billentyű utca,47.447556,19.207644,,,F03814,1.0,-45.0,16,0.0,1
F03852,Selmecbánya utca,47.436262,19.209357,,,F03852,2.0,-154.0,21,0.0,1
F03804,Honvéd utca,47.434346,19.202617,,,F03804,2.0,120.0,23,0.0,1
F03674,Pestszentimre felső vasútállomás,47.413951,19.172628,,,F03674,2.0,-45.0,29,0.0,1
F03675,Pestszentimre felső vasútállomás,47.413069,19.173792,,,F03675,1.0,126.0,30,0.0,1
F03661,Vásáros tér,47.410317,19.184076,,,F03661,2.0,139.0,38,0.0,1
F03874,Eke utca,47.406529,19.182468,,,F03874,1.0,137.0,39,0.0,1
008959,Templom utca 6.,47.408876,19.11362,,,008959,2.0,167.0,57,0.0,1
049174,"Soroksár, Kertvárosi körút",47.413026,19.136152,,,049174,2.0,130.0,59,0.0,1
045755,Maros utca,47.418292,19.138131,,,045755,1.0,47.0,64,0.0,1
F04525,Dinnyehegyi út,47.417133,19.135863,,,F04525,1.0,-130.0,65,0.0,1
008957,Előd utca,47.418567,19.117365,,,008957,1.0,138.0,71,0.0,1
F03871,Zöldségpiac,47.416527,19.169056,,,F03871,2.0,139.0,79,0.0,1
F03872,Zöldségpiac,47.417509,19.168144,,,F03872,1.0,-40.0,80,0.0,1
087373,"Soroksár, IKEA áruház",47.412767,19.160899,,,087373,1.0,,81,0.0,1
009566,"Soroksár, Auchan áruház",47.417204,19.158231,,,009566,1.0,50.0,82,0.0,1
044388,"Soroksár, Auchan áruház",47.419788,19.155599,,,044388,1.0,-7.0,83,0.0,1
F03628,Közdűlő út,47.4236,19.169835,,,F03628,2.0,138.0,84,0.0,1
F03678,Besence utca 9.,47.424762,19.168367,,,F03678,2.0,139.0,85,0.0,1
009314,"BILK, DF épület",47.375229,19.120911,,,009314,2.0,46.0,93,0.0,1
042934,"Soroksár, BILK",47.378287,19.121299,,,042934,2.0,,94,0.0,1
F04264,Sáska utca,47.394418,19.101733,,,F04264,2.0,110.0,109,0.0,1
F04260,Árnyas utca,47.398323,19.098385,,,F04260,2.0,-28.0,113,0.0,1
F04261,Denevér utca,47.39719,19.099073,,,F04261,2.0,155.0,114,0.0,1
008832,Szakorvosi rendelőintézet,47.443871,19.181125,,,008832,2.0,29.0,137,0.0,1
050184,Lőrinci piac,47.44313,19.184332,,,050184,2.0,28.0,140,0.0,1
F03714,Szarvas csárda tér,47.439483,19.187452,,,F03714,2.0,116.0,144,0.0,1
F03786,Tövishát utca,47.427276,19.172852,,,F03786,2.0,51.0,153,0.0,1
F03879,Goroszló utca,47.428595,19.175401,,,F03879,2.0,51.0,154,0.0,1
F03627,Ipacsfa utca (Közdűlő út),47.425656,19.173485,,,F03627,2.0,45.0,155,0.0,1
F03629,Szentlőrinci út (gyorsétterem),47.424552,19.158777,,,F03629,1.0,,167,0.0,1
F03761,Barta Lajos utca,47.437898,19.169516,,,F03761,1.0,-50.0,175,0.0,1
F03758,Havanna utca,47.444352,19.169352,,,F03758,2.0,160.0,182,0.0,1
F03757,Dembinszky utca,47.443548,19.163424,,,F03757,2.0,30.0,190,0.0,1
F03841,Tinódi utca,47.454673,19.168254,,,F03841,1.0,-38.0,198,0.0,1
F03842,Tinódi utca,47.453832,19.170156,,,F03842,2.0,123.0,199,0.0,1
F01658,Gyula utca,47.461508,19.169172,,,F01658,1.0,-48.0,203,0.0,1
F01723,Gyömrői út 156.,47.460265,19.170482,,,F01723,1.0,116.0,204,0.0,1
F03735,Lajosmizsei sorompó,47.451499,19.158673,,,F03735,1.0,118.0,209,0.0,1
F04036,Szegfű utca,47.446001,19.146921,,,F04036,2.0,-132.0,223,0.0,1
