Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
1.0,3.632074633144764e-15,0.00043687199650502403,0.03346344458576378,0.0,044369,1.0,47.175605,18.941796,Ráckeve
2.0,1.8782654302754903e-14,0.001310615989515072,0.034621492853361566,0.00261970445456684,CSF04632,2.0,47.227924,18.946067,Szigetszentmárton-Szigetújfalu
4.0,3.773178705012726e-15,0.0008737439930100481,0.03346442303475095,0.0008737439930100481,,,,,
6.0,8.972862349208083e-14,0.001310615989515072,0.03585919508718061,0.003490393398650279,009749,6.0,47.270708,18.956638,Szigetcsép H
6.0,8.972862349208083e-14,0.001310615989515072,0.03585919508718061,0.003490393398650279,CSF04627,6.0,47.270231,18.956263,Szigetcsép
3.0,7.296551582916199e-16,0.00043687199650502403,0.032381275728897,0.0,,,,,
5.0,8.668509994535973e-14,0.0008737439930100481,0.03585694816485737,0.0,008809,5.0,47.264682,18.970417,"Szigetcsép, községháza"
5.0,8.668509994535973e-14,0.0008737439930100481,0.03585694816485737,0.0,008811,5.0,47.264926,18.970734,"Szigetcsép, községháza"
13.0,3.585752573049619e-13,0.001310615989515072,0.037186860317769764,0.005231007524585506,009755,13.0,47.313733,18.974114,Tököl H
13.0,3.585752573049619e-13,0.001310615989515072,0.037186860317769764,0.005231007524585506,CSF04623,13.0,47.313402,18.974231,Tököl
10.0,8.320368013953673e-12,0.0008737439930100481,0.04015507683671321,0.006968566601594124,CSF04619,10.0,47.330041,18.993868,Szigethalom
11.0,4.135595279766039e-11,0.001310615989515072,0.04182196886647665,0.007836200496750954,CSF04618,11.0,47.33372,19.004259,Szigetszentmiklós-Gyártelep
12.0,1.6780696415641804e-12,0.0008737439930100481,0.03861466311279058,0.006100168944205641,CSF04621,12.0,47.321368,18.983529,Szigethalom alsó
1451.0,1.6557620313291102e-10,0.001310615989515072,0.04363074928997579,0.00956917700036966,CSF04613,1451.0,47.337095,19.034336,József Attila-telep
1453.0,4.000787326703265e-11,0.0008737439930100481,0.04181509289198224,0.0,CSF04615,1453.0,47.336444,19.019615,Szigetszentmiklós alsó
14.0,1.177863320445658e-05,0.0008737439930100481,0.061814744801512285,0.0034040045781228703,007924,14.0,47.396895,19.175423,Ültetvény utca
14.0,1.177863320445658e-05,0.0008737439930100481,0.061814744801512285,0.0034040045781228703,F03659,14.0,47.396787,19.175078,"Pestszentimre, Ültetvény utca"
15.0,5.879101584669776e-05,0.0008737439930100481,0.06572675587204962,0.004246146393397128,F03676,15.0,47.399113,19.178607,Lajos utca
15.0,5.879101584669776e-05,0.0008737439930100481,0.06572675587204962,0.004246146393397128,F03677,15.0,47.398951,19.178541,Lajos utca
26.0,2.3598477116648656e-06,0.0008737439930100481,0.05838243170862346,0.002571911069527301,F04562,26.0,47.389444,19.161379,Víztorony tér
26.0,2.3598477116648656e-06,0.0008737439930100481,0.05838243170862346,0.002571911069527301,F04563,26.0,47.388877,19.161974,Víztorony tér
16.0,0.00029344627894178633,0.001310615989515072,0.07018673535093367,0.00509807406380453,F03820,16.0,47.401169,19.181805,Szélső utca
16.0,0.00029344627894178633,0.001310615989515072,0.07018673535093367,0.00509807406380453,F03821,16.0,47.400855,19.181473,Szélső utca
23.0,0.0006583785650318253,0.00218435998252512,0.07537043134672373,0.01307495117211155,008754,23.0,47.403586,19.185688,Pestszentimre vasútállomás (Dózsa Gy.u.)
23.0,0.0006583785650318253,0.00218435998252512,0.07537043134672373,0.01307495117211155,008949,23.0,47.403412,19.18662,Pestszentimre vasútáll. (Nagykőrösi út)
23.0,0.0006583785650318253,0.00218435998252512,0.07537043134672373,0.01307495117211155,F03672,23.0,47.403503,19.185428,Pestszentimre vasútállomás (Dózsa Gy.u.)
24.0,0.0008063180106308457,0.0034949759720401923,0.07543501186395993,0.030134539286073198,008399,24.0,47.404251,19.186538,Pestszentimre vasútállomás
24.0,0.0008063180106308457,0.0034949759720401923,0.07543501186395993,0.030134539286073198,008950,24.0,47.404303,19.185682,Pestszentimre vasútáll. (Nagykőrösi út)
24.0,0.0008063180106308457,0.0034949759720401923,0.07543501186395993,0.030134539286073198,009234,24.0,47.404518,19.187166,Pestszentimre vasútállomás (Nemes utca)
24.0,0.0008063180106308457,0.0034949759720401923,0.07543501186395993,0.030134539286073198,F03665,24.0,47.404504,19.185823,Pestszentimre vasútállomás (Vasút utca)
17.0,0.00010359607154176528,0.001310615989515072,0.0655761187188449,1.8247552651222376e-05,F03818,17.0,47.410871,19.176728,Bethlen Gábor utca
17.0,0.00010359607154176528,0.001310615989515072,0.0655761187188449,1.8247552651222376e-05,F03819,17.0,47.41051,19.177377,Arany János utca
18.0,4.650490303685618e-05,0.0008737439930100481,0.06546921030803993,1.400230758028923e-06,F03674,18.0,47.413951,19.172628,Pestszentimre felső vasútállomás
18.0,4.650490303685618e-05,0.0008737439930100481,0.06546921030803993,1.400230758028923e-06,F03675,18.0,47.413069,19.173792,Pestszentimre felső vasútállomás
20.0,0.0003020764595882773,0.001310615989515072,0.07015661875134091,0.0005864834706577479,F03874,20.0,47.406529,19.182468,Eke utca
61.0,0.0001378429047637083,0.001310615989515072,0.07003426753151389,0.000856451143148391,F03871,61.0,47.416527,19.169056,Zöldségpiac
61.0,0.0001378429047637083,0.001310615989515072,0.07003426753151389,0.000856451143148391,F03872,61.0,47.417509,19.168144,Zöldségpiac
19.0,0.00018925729584436387,0.001310615989515072,0.07015876907987495,0.0007319018411997142,F03662,19.0,47.408881,19.180932,Törvény utca
19.0,0.00018925729584436387,0.001310615989515072,0.07015876907987495,0.0007319018411997142,F03873,19.0,47.407826,19.180974,Eke utca
21.0,7.265345934063937e-05,0.0008737439930100481,0.06568149210903874,1.0797688549982132e-05,F03661,21.0,47.410317,19.184076,Vásáros tér
22.0,0.00018793676632586625,0.0017474879860200961,0.0702837140751658,0.014614906104492691,F03663,22.0,47.405855,19.189024,Ady Endre utca
22.0,0.00018793676632586625,0.0017474879860200961,0.0702837140751658,0.014614906104492691,F03664,22.0,47.406313,19.189953,Ady Endre utca
37.0,4.9161496505489174e-05,0.0017474879860200961,0.06584587060955614,0.006154409599571758,F03649,37.0,47.408894,19.19295,Kisfaludy utca (Nemes utca)
37.0,4.9161496505489174e-05,0.0017474879860200961,0.06584587060955614,0.006154409599571758,F03650,37.0,47.408991,19.193891,Kisfaludy utca
37.0,4.9161496505489174e-05,0.0017474879860200961,0.06584587060955614,0.006154409599571758,F03651,37.0,47.409027,19.194103,Kisfaludy utca
37.0,4.9161496505489174e-05,0.0017474879860200961,0.06584587060955614,0.006154409599571758,F03652,37.0,47.40817,19.193681,Kisfaludy utca
77.0,0.000293447109924511,0.001310615989515072,0.07025135807015928,0.018252149620647178,F03875,77.0,47.399646,19.191657,Csolt utca
77.0,0.000293447109924511,0.001310615989515072,0.07025135807015928,0.018252149620647178,F03876,77.0,47.399367,19.192186,Csolt utca
75.0,0.0005388038716851148,0.0017474879860200961,0.07529357586921483,0.0025998657305996756,F03681,75.0,47.421742,19.162402,Kamiontelep
75.0,0.0005388038716851148,0.0017474879860200961,0.07529357586921483,0.0025998657305996756,F03682,75.0,47.422291,19.162006,Kamiontelep
25.0,4.728968514342113e-07,0.0008737439930100481,0.05538081873608826,0.001786906091746643,F04566,25.0,47.390734,19.159667,Tangazdaság (Óvoda)
25.0,4.728968514342113e-07,0.0008737439930100481,0.05538081873608826,0.001786906091746643,F04567,25.0,47.390863,19.159302,Tangazdaság (Óvoda)
27.0,9.526298376779577e-08,0.0008737439930100481,0.053323083374100216,0.0011362602233596845,F04560,27.0,47.398686,19.148966,Kertészeti Egyetem
27.0,9.526298376779577e-08,0.0008737439930100481,0.053323083374100216,0.0011362602233596845,F04561,27.0,47.398596,19.149257,Kertészeti Egyetem
29.0,2.1663011880400732e-08,0.0008737439930100481,0.05206058951965065,0.0006749526325500824,F04558,29.0,47.401032,19.140134,Telefondűlő út
29.0,2.1663011880400732e-08,0.0008737439930100481,0.05206058951965065,0.0006749526325500824,F04559,29.0,47.401355,19.140797,Telefondűlő út
28.0,1.7152603615395043e-08,0.0008737439930100481,0.05106183635227982,0.0005705650897623738,F04556,28.0,47.399814,19.133984,Szamaránszki dűlő
28.0,1.7152603615395043e-08,0.0008737439930100481,0.05106183635227982,0.0005705650897623738,F04557,28.0,47.399921,19.134143,Szamaránszki dűlő
1639.0,6.713805929232641e-08,0.0008737439930100481,0.05281373295493874,0.0010526753923780433,F04554,1639.0,47.398722,19.12512,"Vecsés út, sorompó"
1639.0,6.713805929232641e-08,0.0008737439930100481,0.05281373295493874,0.0010526753923780433,F04555,1639.0,47.39891,19.126538,"Vecsés út, sorompó"
30.0,2.1916595406787083e-06,0.0008737439930100481,0.05515131071703932,0.0005473558064048302,008904,30.0,47.419522,19.209134,Kétújfalu utca
30.0,2.1916595406787083e-06,0.0008737439930100481,0.05515131071703932,0.0005473558064048302,F03798,30.0,47.419019,19.208536,Kétújfalu utca
31.0,8.184313555189079e-07,0.0008737439930100481,0.056708948568030916,0.0007369034389725773,022005,31.0,47.41637,19.205427,Tölgy utca
31.0,8.184313555189079e-07,0.0008737439930100481,0.056708948568030916,0.0007369034389725773,F03799,31.0,47.416971,19.206595,Alacskai út
35.0,1.0562794469889354e-05,0.001310615989515072,0.057638556643920126,0.002935929806373835,F03848,35.0,47.422774,19.211994,Halomi út
35.0,1.0562794469889354e-05,0.001310615989515072,0.057638556643920126,0.002935929806373835,F03849,35.0,47.4221,19.211528,Halomi út
35.0,1.0562794469889354e-05,0.001310615989515072,0.057638556643920126,0.002935929806373835,F03850,35.0,47.422595,19.211304,Királyhágó út
39.0,2.0579229984906083e-06,0.0008737439930100481,0.05857815538949739,0.0013187662530412462,F03859,39.0,47.414198,19.202028,Alacskai úti lakótelep
39.0,2.0579229984906083e-06,0.0008737439930100481,0.05857815538949739,0.0013187662530412462,F03860,39.0,47.413767,19.201563,Alacskai úti lakótelep
39.0,2.0579229984906083e-06,0.0008737439930100481,0.05857815538949739,0.0013187662530412462,F03861,39.0,47.4132,19.201482,Alacskai úti lakótelep
39.0,2.0579229984906083e-06,0.0008737439930100481,0.05857815538949739,0.0013187662530412462,F03862,39.0,47.413047,19.201813,Alacskai úti lakótelep
32.0,4.7067625472018976e-07,0.0008737439930100481,0.05177678753195051,0.0003089380207277884,F03865,32.0,47.427365,19.203167,Nagyenyed utca
32.0,4.7067625472018976e-07,0.0008737439930100481,0.05177678753195051,0.0003089380207277884,F03866,32.0,47.427428,19.203233,Nagyenyed utca
33.0,2.1246731432969272e-06,0.0008737439930100481,0.054524665920297276,0.0011602783216093406,F03863,33.0,47.425102,19.207017,Tarkő utca
33.0,2.1246731432969272e-06,0.0008737439930100481,0.054524665920297276,0.0011602783216093406,F03864,33.0,47.425093,19.20719,Tarkő utca
179.0,3.1955770948497045e-07,0.0008737439930100481,0.04937872120113901,3.781350439279664e-05,F03877,179.0,47.429952,19.1988,Olt utca
179.0,3.1955770948497045e-07,0.0008737439930100481,0.04937872120113901,3.781350439279664e-05,F03878,179.0,47.429709,19.199369,Olt utca
34.0,5.053648261616566e-05,0.0008737439930100481,0.0609603451490053,0.003678235774760879,F03846,34.0,47.425784,19.21472,Beszterce utca
34.0,5.053648261616566e-05,0.0008737439930100481,0.0609603451490053,0.003678235774760879,F03847,34.0,47.425316,19.21444,Beszterce utca
170.0,0.0002518743838479385,0.002621231979030144,0.06480563970442513,0.015946699551025924,CS050183,170.0,47.429664,19.218271,"Pestszentlőrinc, Béke tér"
170.0,0.0002518743838479385,0.002621231979030144,0.06480563970442513,0.015946699551025924,CSF03788,170.0,47.429499,19.218401,"Pestszentlőrinc, Béke tér"
170.0,0.0002518743838479385,0.002621231979030144,0.06480563970442513,0.015946699551025924,F03787,170.0,47.428881,19.218932,"Pestszentlőrinc, Béke tér"
