,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1815,1,Avenida Valdemarín - Blanca De Castilla,40.4701,-3.78288,1461,1461.0,2.7295711551970137e-11,0.0008350730688935282,0.040256160285070765,0.0018177295466153644
1816,2,Avenida Valdemarín - La Salle,40.46862,-3.78596,997,997.0,1.2134391827351114e-10,0.0008350730688935282,0.041923400084021845,0.0026430356790305225
1817,3,Blanca De Castilla - Camino De La Zarzuela,40.46491,-3.78385,870,870.0,2.5027090680323418e-09,0.0016701461377870565,0.045721812836470546,0.04440595010264028
1818,4,Pléyades - Ana Teresa,40.46139,-3.7841,542,542.0,6.200710840402386e-10,0.0016701461377870565,0.04378908106922149,0.02446057716082992
1819,5,Pléyades - Osa Mayor,40.45939,-3.78429,146,146.0,1.57286630905836e-10,0.0012526096033402922,0.041963065493920176,0.0027444867263097996
1820,6,Blanca De Castilla - Camino De La Zarzuela,40.46494,-3.7836,870,870.0,2.5027090680323418e-09,0.0016701461377870565,0.045721812836470546,0.04440595010264028
1821,7,Avenida Valdemarín - La Salle,40.46841,-3.78571,997,997.0,1.2134391827351114e-10,0.0008350730688935282,0.041923400084021845,0.0026430356790305225
1822,8,Avenida Valdemarín - Blanca De Castilla,40.46987,-3.78209,1461,1461.0,2.7295711551970137e-11,0.0008350730688935282,0.040256160285070765,0.0018177295466153644
1823,9,Gran Vía - Callao,40.4204,-3.7044,767,767.0,0.003224176239032964,0.0008350730688935282,0.07020166490796108,0.013271615476881639
1824,11,Buganvilla,40.47161,-3.67583,2892,2892.0,3.747299035938203e-08,0.0008350730688935282,0.04966921752836019,0.00025614259092018643
1825,13,Guecho - Gobelas,40.47101,-3.81782,219,219.0,8.066158735141368e-13,0.0020876826722338207,0.03372194531272,0.002490086268791957
1826,14,Guecho - Gobelas,40.47105,-3.81757,219,219.0,8.066158735141368e-13,0.0020876826722338207,0.03372194531272,0.002490086268791957
1827,16,Avenida De La Victoria - Centro Comercial,40.46689,-3.81318,873,873.0,8.194341555247324e-13,0.0025052192066805845,0.033734770054229174,0.004736876987179152
1828,18,Avenida De La Victoria - Centro Comercial,40.46715,-3.8136,873,873.0,8.194341555247324e-13,0.0025052192066805845,0.033734770054229174,0.004736876987179152
1829,19,Acceso A6 - Avenida De La Victoria,40.46909,-3.81895,874,874.0,4.702999286661727e-13,0.0008350730688935282,0.03264232462417031,0.0
1830,20,Guecho - Gobelas,40.47045,-3.81714,219,219.0,8.066158735141368e-13,0.0020876826722338207,0.03372194531272,0.002490086268791957
1831,21,Motrico - Lequeitio,40.46929,-3.81317,220,220.0,4.003295369161802e-13,0.0008350730688935282,0.03262453855689202,1.0941294316747574e-05
1832,22,Amorebieta,40.46895,-3.81033,2258,2258.0,5.883637124911674e-13,0.0016701461377870565,0.03368210840154136,0.0005546108369973462
1833,23,Filosofía B - Estadística,40.44814,-3.73586,1070,1070.0,4.4027558903252126e-08,0.0016701461377870565,0.050041788549937315,0.05611063733687638
1834,24,Mar De Cristal,40.46946,-3.63769,1212,1212.0,6.462286821435605e-09,0.0029227557411273487,0.048625492345799326,0.0069749329513994355
1835,28,Juzgados Plaza Castilla,40.46501,-3.68973,2815,2815.0,4.155591185300212e-06,0.0008350730688935282,0.05510053835181521,0.0
