,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,clust,max_distance,quant
0,est_4_186,186,Pº de la Estación,Paseo de la Estación 37,40.30353,-3.4475,,http://www.crtm.es,2.0,est_4_186,,0.0,2,0.0,1
1,6320,6320,Paseo De El Pardo 5,,40.5207,-3.77757,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=6320&Estado=1&panel=6,,6320,,,5,0.0,1
2,est_4_185,185,Ctra. Campo Real,Ctra de Campo Real 20,40.31884,-3.47782,,http://www.crtm.es,2.0,est_4_185,,0.0,7,0.0,1
3,est_4_300,300,Concepción Arenal,Calle  Concepción Arenal 1,40.34126,-3.52489,,http://www.crtm.es,2.0,est_4_300,,0.0,11,0.0,1
4,est_4_300,300,Ascensor exterior,Calle  Marie Curie 5,40.34126,-3.52489,,http://www.crtm.es,2.0,est_4_300,,0.0,12,0.0,1
5,est_4_184,184,Wenceslao Garcia,Calle de Wenceslao García SN,40.32845,-3.52035,,http://www.crtm.es,2.0,est_4_184,,0.0,13,0.0,1
6,est_4_300,300,Marie Curie,Calle  Marie Curie 5,40.34126,-3.52489,,http://www.crtm.es,2.0,est_4_300,,0.0,14,0.0,1
7,est_4_156,156,Príncipe de Vergara impares - Pza. Rep. Dominicana,Calle del Príncipe de Vergara 275,40.45811,-3.67701,,http://www.crtm.es,2.0,est_4_156,,0.0,15,0.0,1
8,est_4_156,156,Príncipe de Vergara pares - Pza. Rep. Dominicana,Calle del Príncipe de Vergara 268,40.45811,-3.67701,,http://www.crtm.es,2.0,est_4_156,,0.0,16,0.0,1
9,est_4_7,7,Sta. Engracia - Pza. Descubridor Diego de Ordás,Calle de Santa Engracia 120 A,40.44052,-3.70127,,http://www.crtm.es,2.0,est_4_7,,0.0,20,0.0,1
10,4817,4817,Veinticinco Septiembre - Ricardo Velázquez Bosco,,40.44711,-3.62583,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4817&Estado=1&panel=6,,4817,,,21,0.0,1
11,4818,4818,Marquesado Santa Marta - Ricardo Velázquez Bosco,,40.44769,-3.6252,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4818&Estado=1&panel=6,,4818,,,22,0.0,1
12,7208,7208,Avenida Aragón - Ingeniero Torres Quevedo,,40.4492,-3.55828,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=7208&Estado=1&panel=6,,7208,,,23,0.0,1
13,7209,7209,Avenida Aragón - Parque Empresarial Pegaso,,40.44835,-3.5487,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=7209&Estado=1&panel=6,,7209,,,24,0.0,1
14,17388,17388,Carretera San Blas A Coslada Frente Metropolitano,,40.43317,-3.60185,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=17388&Estado=1&panel=6,,17388,,,25,0.0,1
15,est_4_205,205,Olímpico Francisco Fernández Ochoa,Calle  Olímpico Francisco Fernández Ochoa SN,40.34474,-3.81292,,http://www.crtm.es,2.0,est_4_205,,0.0,26,0.0,1
16,est_4_211,211,C/ Berlín por 2º vestíbulo renfe,Calle de Berlín 2,40.35055,-3.83185,,http://www.crtm.es,2.0,est_4_211,,0.0,27,0.0,1
17,4299,4299,Somosaguas,,40.43199,-3.79199,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4299&Estado=1&panel=6,,4299,,,29,0.0,1
18,3445,3445,Aravaca,,40.45937,-3.78696,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3445&Estado=1&panel=6,,3445,,,30,0.0,1
19,19,19,Acceso A6 - Avenida De La Victoria,,40.46909,-3.81895,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=19&Estado=1&panel=6,,19,,,31,0.0,1
20,5127,5127,Paradores - Avenida De Casaquemada,,40.478,-3.83316,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5127&Estado=1&panel=6,,5127,,,32,0.0,1
21,6319,6319,Av. Del Palacio - Regimiento Transmisiones,,40.5169,-3.77265,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=6319&Estado=1&panel=6,,6319,,,35,0.0,1
22,6331,6331,Ctra Del Pardo - Parque Central Ingenieros,,40.51292,-3.77046,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=6331&Estado=1&panel=6,,6331,,,36,0.0,1
23,est_4_205,205,Avenida de la Libertad impares,Avda de la Libertad 3,40.34474,-3.81292,,http://www.crtm.es,2.0,est_4_205,,0.0,38,0.0,1
24,est_4_204,204,Avenida de la Libertad pares,Avda de la Libertad 2,40.34962,-3.80735,,http://www.crtm.es,2.0,est_4_204,,0.0,39,0.0,1
25,5975,5975,María Mercedes De Borbón - Félix Candela,,40.49694,-3.62384,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5975&Estado=1&panel=6,,5975,,,43,0.0,1
26,3964,3964,Ensanche De Vallecas - Embalse De Pinilla,,40.3612,-3.59505,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3964&Estado=1&panel=6,,3964,,,44,0.0,1
27,51036,51036,Gran Vía Del Sureste - Ensanche Vallecas,,40.36093,-3.59166,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=51036&Estado=1&panel=6,,51036,,,45,0.0,1
28,6226,6226,Avenida De La Victoria - Sáinz De La Calleja,,40.47063,-3.82478,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=6226&Estado=1&panel=6,,6226,,,49,0.0,1
