stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
007877,3.094,0.9241,32,0.513,7.154,8.781,2,5,6,10,22,6,17,12,9,2,2,3,2,11,3,2,12,2,2.081,1.013,Bíróság,47.519544,18.97806,2120,3.2314658460656614e-07,0.0009837678307919,0.0540533354603706,0.0068660410316393,0.139,0.151,0.852,0.78,0.123854,0.13317,0.278032,0.360259
007878,3.874,0.8772,46,0.77,7.15,8.78,2,6,11,14,31,8,26,24,15,2,2,3,2,11,3,2,12,2,2.099,1.775,Bíróság,47.519418,18.978021,2120,3.2314658460656614e-07,0.0009837678307919,0.0540533354603706,0.0068660410316393,0.139,0.1509,0.852,0.78,0.124168,0.139979,0.27422,0.373276
007879,2.639,0.425,16,1.044,9.057,8.701,5,5,14,3,35,2,50,10,24,3,2,10,2,13,1,46,4,15,2.298,0.3409999999999997,"Római úti lakótelep, Varsa utca",47.570863,19.058543,1752,6.2607131788810625e-09,0.0004918839153959,0.0497650053852932,0.0,0.1582,0.17,0.709,0.639,0.128583,0.13398,0.276003,0.344026
007881,4.646,0.6776,43,1.404,6.495,6.97,22,16,29,8,74,20,119,17,101,11,9,23,4,52,11,64,14,50,3.188,1.4579999999999995,Váradi utca,47.543722,19.030125,1947,1.9852159987255306e-06,0.0019675356615838,0.0613217506711308,0.0012713912741004,0.1481,0.1493,0.615,0.658,0.153945,0.1756,0.379244,0.371556
007883,5.021,0.5949,48,2.254,6.725,7.175,20,12,28,8,62,18,101,16,84,11,9,17,3,44,9,53,13,36,3.224,1.7969999999999997,Perényi út,47.5458,19.029579,1973,1.029145234346044e-06,0.0009837678307919,0.0579020819686138,0.0,0.1457,0.1493,0.615,0.658,0.149009,0.164973,0.358126,0.354507
007884,12.517,0.2596,149,8.704,1.025,2.562,223,133,301,63,223,83,1720,122,585,107,42,82,17,43,31,938,32,211,3.213,9.303999999999998,Deák Ferenc tér M,47.497413,19.055158,366,0.002881170524049,0.0044269552385636,0.0972960038286671,0.2526679187957686,0.1748,0.1914,0.952,0.813,0.26154,0.2443,0.449846,0.474775
007885,6.385,0.032,61,2.651,1.291,2.979,168,73,141,35,121,48,1190,56,340,75,23,47,10,41,23,653,22,153,2.384,4.001,Dorottya utca (Vörösmarty tér M),47.497476,19.049623,369,0.0006732052278956,0.0014756517461878,0.0900274554955274,0.0015807653771373,0.1699,0.192,1.038,0.814,0.264149,0.250705,0.444352,0.460155
007897,10.667,0.4663,105,4.683,4.036,6.043,15,27,65,21,102,23,146,51,160,5,13,22,5,32,9,66,18,37,3.103,7.564,Kelenföld vasútállomás M,47.464572,19.022964,1413,0.0001472116012855,0.0044269552385636,0.0722947263610824,0.0676980425782687,0.1386,0.1515,0.656,0.694,0.133432,0.136003,0.456879,0.414838
007898,10.387,0.366,103,4.793,4.027,6.035,15,26,58,21,98,22,134,52,151,5,13,22,4,32,9,67,18,38,3.105,7.282,Kelenföld vasútállomás M,47.464653,19.023017,1413,0.0001472116012855,0.0044269552385636,0.0722947263610824,0.0676980425782687,0.1378,0.1515,0.656,0.694,0.133445,0.136706,0.456605,0.413148
007900,5.08,0.2345,61,1.838,3.379,5.105,43,35,58,29,99,15,231,37,160,36,19,40,20,56,9,174,24,106,3.228,1.852,Maros utcai rendelőintézet,47.503724,19.022401,1260,0.0001389269565136,0.0009837678307919,0.0738118578223142,0.0001862540294773,0.131,0.154,0.75,0.787,0.220012,0.210819,0.451596,0.446455
