stop_id,multimodal_gini
007877,0.151
007878,0.1509
007879,0.17
007881,0.1493
007883,0.1493
007884,0.1914
007885,0.192
007897,0.1515
007898,0.1515
007900,0.154
007913,0.1569
007914,0.1569
007919,0.1512
007923,0.1532
007924,0.1836
007927,0.2043
007928,0.2043
007930,0.1997
007931,0.2006
007949,0.1227
007950,0.156
007967,0.1515
007968,0.166
007973,0.1875
007974,0.1875
007975,0.1875
007976,0.1875
007977,0.1875
007978,0.1875
007979,0.1924
007980,0.1458
007995,0.1768
008020,0.1398
008021,0.1398
008022,0.1398
008023,0.1398
008024,0.1398
008025,0.1398
008026,0.1398
008028,0.1398
008029,0.1398
008030,0.1398
008036,0.159
008037,0.159
008040,0.1847
008041,0.1847
008047,0.1313
008050,0.1535
008051,0.1633
008067,0.1371
008087,0.1517
008090,0.1846
008093,0.1716
008094,0.1532
008095,0.1728
008096,0.1532
008098,0.214
008106,0.1997
008109,0.1806
008110,0.1763
008111,0.1545
008112,0.1824
008113,0.1824
008114,0.1806
008115,0.1939
008116,0.1931
008119,0.1763
008124,0.2151
008125,0.1931
008126,0.2151
008127,0.1931
008128,0.1997
008132,0.1594
008146,0.1674
008147,0.1602
008148,0.1674
008149,0.1583
008152,0.17
008153,0.1617
008155,0.2165
008156,0.1401
008164,0.1398
008165,0.1398
008168,0.1791
008169,0.1791
008170,0.0185
008206,0.1414
008209,0.1428
008218,0.1925
008222,0.1398
008238,0.1127
008239,0.1702
008240,0.1697
008241,0.1374
008242,0.1374
008243,0.1503
008245,0.2037
008246,0.1451
008260,0.1477
008261,0.1478
008262,0.1602
008265,0.2156
008269,0.1551
008270,0.1551
008272,0.2165
008280,
008283,0.1459
008284,0.1459
008286,0.1868
008287,0.193
008289,0.1397
008336,0.175
008337,0.175
008341,0.0934
008344,0.1535
008353,0.1467
008379,0.1356
008380,0.1356
008382,0.1398
008383,0.1398
008399,0.1802
008402,0.208
008403,0.2027
008404,0.2069
008405,0.2041
008406,0.2041
008407,0.2027
008408,0.2027
008409,0.2032
008410,0.204
008411,0.2037
008412,0.1488
008426,0.1397
008440,0.1884
008455,0.1127
008458,0.1428
008459,0.1428
008460,0.1158
008461,0.1428
008481,0.2156
008490,0.1703
008491,0.1569
008498,0.1334
008499,0.1334
008500,0.1673
008501,0.0
008519,0.1659
008521,0.1661
008535,0.1882
008544,0.1663
008545,0.1594
008546,0.2133
008559,0.1544
008560,0.14
008567,0.1417
008569,0.1885
008575,0.1675
008577,0.1582
008587,0.2396
008588,0.2396
008589,0.1337
008590,0.1944
008591,0.1944
008593,0.1846
008605,0.1659
008644,0.1366
008645,0.1366
008692,0.144
008694,
008697,0.1503
008702,0.1452
008708,0.1366
008725,0.1594
008731,0.1515
008736,0.1276
008737,0.1276
008750,0.1875
008754,0.1802
008782,0.1982
008785,0.1594
008788,0.1564
008789,0.2204
008792,0.2784
008793,0.0816
008832,0.1681
008841,0.1459
008842,0.1459
008844,0.1372
008850,0.1806
008863,0.1425
008893,0.2109
008894,0.2388
008895,0.2427
008896,0.2427
008898,0.1884
008903,0.1647
008904,0.1537
008910,0.1438
008911,0.144
008918,0.1692
008921,0.1532
008922,0.1813
008923,0.1258
008924,0.1258
008939,0.2049
008943,0.1979
008946,0.1832
008947,0.1826
008948,0.1781
008949,0.1802
008950,0.1787
008952,0.1828
008953,0.1981
008954,0.1981
008955,0.1981
008956,0.1981
008957,0.1981
008958,0.1981
008959,0.2135
008960,0.2449
008963,0.2449
008967,0.183
008971,0.1748
009025,0.1201
009026,0.1924
009039,0.1441
009041,0.1697
009042,0.2165
009047,0.1459
009072,0.1512
009137,0.152
009138,0.1569
009139,0.1545
009140,0.1569
009146,0.1452
009147,0.1989
009148,0.1459
009153,0.1494
009154,
009155,0.1397
009161,0.1613
009162,0.1613
009163,0.1613
009174,0.1527
009179,0.1352
009208,0.1868
009220,0.1846
009225,
009230,0.1914
009234,0.1802
009243,0.1981
009289,0.1425
009290,0.2165
009295,0.1692
009309,0.1914
009311,
009312,
009314,
009315,0.2067
009318,0.1437
009321,0.1613
009322,0.1398
009337,0.2067
009338,0.2449
009339,0.2449
009349,0.089
009351,0.089
009352,0.089
009353,0.089
009354,0.089
009355,0.089
009356,0.1515
009358,0.2449
009359,0.2133
009365,
009373,0.1704
009375,0.1832
009377,0.1576
009379,0.197
009381,0.1819
009382,0.1819
009383,0.1819
009392,0.2069
009393,0.2069
009394,0.1908
009413,0.1529
009415,0.1656
009420,0.1261
009421,0.1366
009422,0.1366
009429,0.1515
009430,0.1515
009431,0.1514
009445,0.1922
009446,0.1791
009447,0.1791
009448,0.0679
009449,0.1562
009451,0.1851
009452,0.1851
009453,
009454,0.1802
009455,0.1802
009456,0.1851
009457,
009458,0.1851
009459,0.1851
009460,0.1851
009461,0.1851
009462,0.2019
009463,0.1979
009465,0.2012
009466,0.1997
009467,0.1867
009468,0.2012
009469,0.1866
009470,0.2012
009471,0.1806
009472,
009473,
009474,0.2012
009475,0.1997
009480,0.1815
009481,0.1414
009482,0.1781
009483,0.1822
009484,0.1822
009485,0.1866
009486,0.1593
009487,0.1897
009491,0.1607
009492,0.1579
009493,0.1607
009494,0.1607
009495,0.1379
009498,0.078
009499,0.1819
009500,0.1819
009501,0.078
009503,0.1404
009504,0.1404
009508,0.1451
009509,0.1468
009510,0.1451
009511,0.1364
009512,0.1468
009513,0.1451
009514,0.1396
009515,0.1397
009516,0.1397
009520,0.1617
009521,0.1237
009522,0.1617
009524,0.1717
009534,0.1818
009536,0.1459
009537,0.193
009538,0.1646
009539,0.1935
009540,0.1354
009541,0.1997
009543,0.1607
009544,0.1358
009546,0.1851
009548,0.2012
009549,0.1634
009550,0.1579
009551,0.1532
009554,0.1862
009555,0.1397
009557,
009558,0.1512
009563,0.2027
009564,0.204
009566,
009568,0.183
009569,0.1681
009570,0.1846
009572,0.1366
009573,0.1366
009574,0.1366
009575,0.1366
009576,0.1268
009577,0.1997
009578,0.1997
009581,0.1468
009582,0.1884
009584,0.2042
009587,0.1369
009588,0.1535
009592,0.1643
009625,0.1781
009631,
009652,0.1646
009659,0.1397
009667,0.1846
009675,
009676,0.0
009684,0.153
009685,0.153
009691,0.171
009692,0.1669
009693,0.1663
009698,0.1814
009699,0.1553
009704,0.1832
009705,0.1604
009706,0.1548
009707,0.1822
009708,0.1822
009715,0.2385
009716,0.2385
009717,0.2109
009718,0.2109
009719,0.2109
009728,0.213
009729,0.1781
009730,0.1517
009743,0.1702
011313,0.1791
011320,0.1862
011321,0.1862
011322,0.1486
011495,0.1553
011715,0.1445
011723,0.1665
011725,0.1445
011726,0.1916
011762,0.1541
011773,0.1445
016532,0.1441
016725,0.1177
016727,0.1846
019313,0.1781
019314,0.1781
019316,0.1822
022005,0.1736
036678,0.1517
038671,0.1635
038673,0.1635
038674,0.1635
038675,0.1575
038678,0.1635
038680,0.1635
038682,0.1635
038683,0.1635
038686,0.1635
038687,0.1644
038692,0.1635
038717,0.1913
038791,0.1356
040525,0.1674
040526,
040608,0.078
040609,0.1391
040612,0.1415
040761,0.1703
040762,0.1717
040763,0.1703
040789,0.1428
041071,0.1654
041092,0.1336
041093,0.1378
041094,0.1378
041095,0.1424
041209,0.2133
042933,0.1927
042934,
043192,0.1781
043193,0.1781
043331,0.1982
043341,0.1792
043342,0.1244
043343,0.151
043548,0.1822
043554,0.1798
043555,0.1805
043556,0.1802
043571,0.1562
044076,0.1336
044127,0.169
044135,0.1459
044388,0.1982
044557,0.1512
044637,0.2801
044638,0.1394
045755,0.183
047671,0.1401
048471,0.1478
048505,0.1913
048506,0.1913
048519,0.166
049170,0.2318
049171,0.2303
049172,0.2303
049174,
049177,0.1112
049178,0.1112
049180,0.1216
049182,0.1216
049183,0.1216
049185,0.1503
049892,
049893,
049894,
049895,
049896,
049897,
049898,
049900,0.1599
049903,
050184,0.1938
050279,0.1866
056123,0.1227
056124,0.1227
056161,0.2069
056162,0.204
056163,0.2027
056165,0.2262
056166,0.2061
056168,0.2262
056169,0.2099
056170,0.2383
056172,0.2383
056173,0.2262
056174,0.2115
056187,0.2115
056188,0.2115
056189,0.1532
061136,0.2037
061188,0.1518
061222,0.1552
061223,0.1521
061224,0.1521
061225,0.1515
061226,0.1514
061227,0.155
061231,0.1912
061232,0.1722
061233,0.1851
061234,0.1851
061236,0.1851
061237,0.1768
061238,
061271,0.1552
061272,0.2156
061273,0.155
061274,0.1515
061275,0.1515
061277,0.1515
061278,0.1515
061280,0.1515
061286,0.2134
061350,0.1613
061351,0.156
061368,0.1616
062511,0.1515
062512,0.1515
062513,0.2019
062514,0.2019
062515,0.0679
062516,0.1562
062517,0.1556
062518,0.1138
062519,0.1521
062521,0.1931
062522,0.1562
062607,
062608,
062620,
062621,
062622,
062726,0.1851
062756,
062757,
062759,0.1931
062815,0.1791
062861,0.1216
062942,0.1337
063399,
064208,0.0768
064209,0.0768
064210,0.0768
064212,0.0768
064214,0.0768
064215,0.0768
064377,0.2374
066434,0.193
066451,0.164
066452,0.17
066453,0.1917
066454,0.164
066455,
066456,0.1702
066457,0.1889
066458,0.1697
066459,0.1889
066460,0.1697
066679,0.1841
066680,0.1837
066681,0.1845
066682,0.1849
066683,0.1845
066684,0.1852
066685,0.1845
066686,0.1841
066687,0.0986
066688,0.1845
066697,0.1845
066698,0.1598
066699,0.1598
066700,0.1598
066711,0.0904
066712,0.1751
066713,0.1751
066714,0.0771
066715,0.0904
066716,
066717,0.0904
066718,
066719,0.0904
066720,
066722,0.0771
066828,0.1387
066856,0.176
066969,0.1845
067592,0.1875
069089,0.1536
069090,0.1536
069091,0.1525
069092,0.1679
069093,0.1526
069403,0.175
071262,0.1917
071659,0.1879
072851,0.1523
072934,0.0
072935,0.0852
073152,0.1521
075220,0.2073
075654,0.1728
075655,0.1869
075744,0.1514
076394,0.0194
076395,0.0541
076396,0.1273
076397,0.0541
076398,0.0541
076399,0.0541
078004,0.1517
078064,
081565,0.1517
081950,0.1997
081954,0.18
082200,0.1493
082617,0.1515
082623,0.1835
083329,0.0679
083330,0.1562
083331,0.1879
083777,0.1997
085772,0.1897
086855,0.1654
086856,0.1471
086857,0.1601
086858,0.1927
086859,0.193
086866,0.1948
086874,0.1545
086875,0.1532
086876,0.1532
086880,0.1927
086885,0.1471
087373,0.2081
090482,0.1121
090915,0.1912
091120,
091338,0.1457
091816,0.1503
091817,0.1503
091821,0.1503
096830,0.2151
099342,0.1892
099343,0.1892
099344,0.1856
099629,0.1514
099630,0.1514
099631,0.1514
099632,0.1514
099634,0.1515
100836,0.2262
100837,0.1832
100838,0.2383
102283,
102568,0.1832
102569,0.1832
102602,0.1551
102797,0.1683
103897,0.1367
105925,0.1914
106324,0.166
106325,0.1404
108188,0.1697
108458,0.1697
108550,0.1654
109462,0.2031
109565,0.1692
