stop_id,walk15_gini
007877,0.139
007878,0.139
007879,0.1582
007881,0.1481
007883,0.1457
007884,0.1748
007885,0.1699
007897,0.1386
007898,0.1378
007900,0.131
007913,0.1407
007914,0.1407
007919,0.0986
007923,0.1645
007924,0.1762
007927,0.237
007928,0.1558
007930,0.1624
007931,0.1654
007949,0.1906
007950,0.1597
007967,0.1394
007968,0.2172
007973,0.2138
007974,0.2121
007975,0.2105
007976,0.2116
007977,0.2071
007978,0.2138
007979,0.1601
007980,0.1599
007995,0.2119
008020,0.145
008021,0.1406
008022,0.1446
008023,0.1437
008024,0.145
008025,0.1446
008026,0.1437
008028,0.1461
008029,0.1425
008030,0.1437
008036,0.1853
008037,0.1899
008040,0.1095
008041,0.1104
008047,0.1325
008050,0.1629
008051,0.1631
008067,0.1371
008087,0.1472
008090,0.1197
008093,0.1799
008094,0.1817
008095,0.196
008096,0.1894
008098,0.1592
008106,0.1654
008109,0.1687
008110,0.1657
008111,0.1977
008112,0.2069
008113,0.1737
008114,0.1773
008115,0.1606
008116,0.1562
008119,0.1679
008124,0.1505
008125,0.1524
008126,0.1616
008127,0.1571
008128,0.1677
008132,0.1501
008146,0.1708
008147,0.1774
008148,0.1803
008149,0.1851
008152,0.1253
008153,0.127
008155,0.1589
008156,0.1301
008164,0.1453
008165,0.1392
008168,0.1652
008169,0.1624
008170,0.1673
008206,0.1403
008209,0.1529
008218,0.1696
008222,0.13
008238,0.1707
008239,0.1417
008240,0.1413
008241,0.1484
008242,0.1382
008243,0.1337
008245,0.179
008246,0.1162
008260,0.1623
008261,0.164
008262,0.2095
008265,0.1591
008269,0.1494
008270,0.149
008272,0.1607
008280,0.1343
008283,0.1643
008284,0.1546
008286,0.1683
008287,0.176
008289,0.1626
008336,0.1099
008337,0.123
008341,0.1538
008344,0.143
008353,0.1885
008379,0.1539
008380,0.1533
008382,0.1406
008383,0.1391
008399,0.1811
008402,0.2075
008403,0.2071
008404,0.1842
008405,0.1805
008406,0.1489
008407,0.1511
008408,0.1356
008409,0.135
008410,0.1577
008411,0.1577
008412,0.1544
008426,0.1418
008440,0.1675
008455,0.158
008458,0.1364
008459,0.1481
008460,0.1412
008461,0.1548
008481,0.185
008490,0.1197
008491,0.1234
008498,0.1336
008499,0.1163
008500,0.1139
008501,0.1472
008519,0.1371
008521,0.1477
008535,0.1436
008544,0.1496
008545,0.1549
008546,0.1501
008559,0.1518
008560,0.1527
008567,0.1926
008569,0.1436
008575,0.1105
008577,0.1697
008587,0.1455
008588,0.1523
008589,0.1265
008590,0.1801
008591,0.1804
008593,0.119
008605,0.1536
008644,0.0
008645,0.0557
008692,0.1437
008694,0.1804
008697,0.1241
008702,0.1487
008708,0.0614
008725,0.1534
008731,0.1513
008736,0.1306
008737,0.1335
008750,0.1794
008754,0.1737
008782,0.1826
008785,0.1543
008788,0.161
008789,0.161
008792,0.3136
008793,0.1571
008832,0.1709
008841,0.0969
008842,0.0476
008844,0.1373
008850,0.1446
008863,0.1287
008893,0.1683
008894,0.1622
008895,0.1533
008896,0.1758
008898,0.1664
008903,0.1078
008904,0.1568
008910,0.0993
008911,0.0912
008918,0.1693
008921,0.1817
008922,0.1767
008923,0.142
008924,0.142
008939,0.1791
