,stop_id,walk15_gini,multimodal_gini,median_income_walk,median_income_multimodal
0,1010102,0.29791,0.302774,51164.0,49134.0
1,1010103,0.29989,0.306662,50412.0,46938.0
2,1010105,0.302712,0.310461,49265.0,44798.0
3,1010106,0.303856,0.303201,48796.0,48715.0
4,1010107,0.307077,0.311233,47427.0,45394.0
5,1010108,0.307096,0.310397,47410.0,45129.0
6,1010109,0.30845,0.313937,46945.0,44097.0
7,1010110,0.309189,0.310938,46748.0,44862.0
8,1010115,0.297874,0.303062,51183.0,48668.0
9,1010124,0.306518,0.316752,47439.0,42311.0
10,1010125,0.307031,0.319966,47176.0,40706.0
11,1010128,0.306166,0.313437,47815.0,43628.0
12,1010180,0.299273,0.300616,50527.0,50305.0
13,1010419,0.299752,0.310109,50386.0,45171.0
14,1010420,0.299866,0.318369,50324.0,41345.0
15,1010421,0.30178,0.319541,49508.0,40983.0
16,1010422,0.301285,0.312285,49724.0,44364.0
17,1010424,0.298056,0.308458,51083.0,45978.0
18,1010425,0.298309,0.301244,50973.0,49655.0
19,1010427,0.307031,0.320509,47176.0,40635.0
20,1010428,0.306518,0.314614,47439.0,43072.0
21,1020100,0.30599,0.315259,47869.0,43080.0
22,1020101,0.30609,0.315272,47862.0,43078.0
23,1020105,0.30952,0.322212,45897.0,39854.0
24,1020106,0.306566,0.319177,47313.0,41298.0
25,1020112,0.304964,0.315211,48368.0,43080.0
26,1020113,0.304497,0.315616,48538.0,42836.0
27,1020115,0.305265,0.31708,48208.0,42124.0
28,1020116,0.304995,0.315727,48339.0,42765.0
29,1020117,0.305213,0.315363,48231.0,42990.0
30,1020118,0.304921,0.315363,48424.0,42990.0
31,1020119,0.30491,0.315834,48404.0,42706.0
32,1020120,0.304791,0.315363,48431.0,42990.0
33,1020121,0.304805,0.315259,48482.0,43080.0
34,1020122,0.304559,0.315427,48502.0,42951.0
35,1020123,0.304784,0.315802,48402.0,42725.0
36,1020129,0.306242,0.315459,47856.0,42880.0
37,1020131,0.306399,0.316026,47794.0,42565.0
38,1020132,0.306499,0.316038,47749.0,42570.0
39,1020133,0.3064,0.315509,47790.0,42859.0
40,1020135,0.306428,0.315509,47775.0,42859.0
41,1020169,0.306166,0.31943,47479.0,41016.0
42,1020171,0.306188,0.315322,47881.0,43028.0
43,1020174,0.305697,0.315292,48021.0,43039.0
44,1020177,0.3059,0.315184,47926.0,43127.0
45,1020182,0.304904,0.315363,48383.0,42990.0
46,1020204,0.304672,0.316242,48510.0,42481.0
47,1020239,0.306542,0.316174,47736.0,42458.0
48,1020241,0.306641,0.316038,47686.0,42570.0
49,1020243,0.306717,0.316038,47648.0,42570.0
50,1020245,0.307193,0.316038,47420.0,42570.0
51,1020401,0.303645,0.315296,48812.0,43035.0
52,1020402,0.303435,0.314791,48881.0,43269.0
53,1020443,0.305576,0.315096,48062.0,43151.0
54,1020444,0.305828,0.315379,47954.0,42993.0
55,1020446,0.303926,0.309681,48790.0,45750.0
56,1020447,0.304559,0.31427,49132.0,43671.0
57,1020448,0.302346,0.308276,49341.0,46154.0
58,1020449,0.304847,0.313368,49006.0,44029.0
59,1020450,0.306193,0.31078,48650.0,45124.0
60,1020453,0.305257,0.315295,48271.0,43022.0
61,1020454,0.30552,0.315686,48159.0,42982.0
62,1020455,0.305448,0.311959,48899.0,44693.0
63,1020456,0.304092,0.315363,48621.0,42990.0
64,1020457,0.303613,0.320913,48740.0,40494.0
65,1020458,0.303614,0.318225,48720.0,41824.0
66,1020459,0.306316,0.320964,47399.0,40312.0
67,1020460,0.306343,0.316867,47405.0,42461.0
68,1020463,0.304411,0.314362,48555.0,43621.0
69,1020464,0.304122,0.3113,48643.0,45103.0
70,1020501,0.305591,0.315463,48141.0,42847.0
71,1020502,0.307455,,47318.0,40503.0
72,1020503,0.307779,0.315656,47139.0,42566.0
73,1020601,0.305148,0.317269,48330.0,42010.0
74,1020602,0.305148,0.315864,48330.0,42819.0
75,1020603,0.303633,0.321693,48797.0,40167.0
76,1020604,0.303633,0.316831,48797.0,42452.0
77,1030100,0.300184,0.301261,50173.0,50054.0
78,1030102,0.304076,0.310649,48651.0,45324.0
79,1030113,0.304348,0.311815,48481.0,44875.0
80,1030114,0.300886,0.302831,49905.0,49299.0
81,1030119,0.304298,0.313637,48553.0,44250.0
82,1030121,0.30381,0.311119,48767.0,45181.0
83,1030122,0.303797,0.31299,48786.0,44359.0
84,1030401,0.304513,0.310302,48486.0,46179.0
85,1030424,0.30056,0.301496,50036.0,49823.0
86,1030425,0.300146,0.303963,50194.0,48520.0
87,1030426,0.300497,0.301846,50039.0,49959.0
88,1030427,0.300426,0.303624,50082.0,48719.0
89,1030428,0.304416,0.314583,48510.0,43725.0
90,1030429,0.304464,0.310302,48484.0,46179.0
91,1040102,0.306307,0.312775,47720.0,45149.0
92,1040104,0.304797,0.311482,48352.0,45769.0
93,1040112,0.311798,0.317431,45657.0,42223.0
94,1040115,0.313627,0.317168,44957.0,42269.0
95,1040117,0.30728,0.316354,47425.0,42975.0
96,1040123,0.307579,0.315238,47246.0,43574.0
97,1040124,0.309528,0.311499,46512.0,45842.0
98,1040125,0.310057,0.316988,46319.0,42259.0
99,1040126,0.312365,0.310615,45486.0,46182.0
100,1040127,0.311033,0.316974,45956.0,42330.0
101,1040129,0.309156,0.314634,46590.0,43480.0
102,1040130,0.312072,0.316732,45435.0,42474.0
103,1040133,0.316993,0.312145,43917.0,44801.0
104,1040139,0.315181,0.317114,44539.0,42274.0
105,1040141,0.315207,0.317114,44531.0,42274.0
106,1040144,0.312123,0.316895,45441.0,42247.0
107,1040146,0.31248,0.316896,45298.0,42237.0
108,1040153,0.315525,0.314513,44369.0,44453.0
109,1040155,0.319974,0.317793,42851.0,42436.0
110,1040157,0.319724,0.314241,42924.0,44826.0
111,1040231,0.316755,0.316159,44004.0,43653.0
112,1040233,0.317258,0.312969,43836.0,44552.0
113,1040234,0.316221,0.316471,44176.0,42960.0
114,1040271,0.31019,0.317087,46256.0,42313.0
115,1040272,0.313255,0.317172,45116.0,42278.0
116,1040273,0.310178,0.317137,46259.0,42293.0
117,1040274,0.310293,0.317087,46215.0,42313.0
118,1040275,0.310445,0.317087,46163.0,42313.0
119,1040276,0.310478,0.317087,46152.0,42313.0
120,1040277,0.310808,0.317168,46009.0,42269.0
121,1040278,0.31083,0.317168,46002.0,42269.0
122,1040279,0.310729,0.317088,46054.0,42312.0
123,1040280,0.311098,0.317168,45904.0,42269.0
124,1040281,0.31114,0.317168,45880.0,42269.0
125,1040282,0.311151,0.317168,45877.0,42269.0
126,1040283,0.311506,0.317168,45739.0,42269.0
127,1040284,0.311606,0.317168,45706.0,42269.0
128,1040285,0.311533,0.317168,45731.0,42269.0
129,1040289,0.315104,0.317168,44558.0,42269.0
130,1040291,0.308812,0.318132,46691.0,41424.0
131,1040401,0.306464,0.313047,47669.0,44446.0
132,1040404,0.320098,0.316904,42837.0,42874.0
133,1040405,0.320034,0.315367,42849.0,44336.0
134,1040406,0.316877,0.316937,43952.0,42952.0
135,1040407,0.317251,0.314918,43829.0,44160.0
136,1040408,0.311966,0.316952,45619.0,42424.0
137,1040409,0.311853,0.317175,45652.0,42268.0
138,1040410,0.306843,0.315543,47601.0,43198.0
139,1040411,0.30728,0.317305,47425.0,42834.0
140,1040437,0.30447,0.31355,48501.0,44247.0
141,1040438,0.306712,0.312369,47566.0,45312.0
142,1040440,0.308538,0.311725,46892.0,45858.0
143,1040441,0.31475,0.313952,44639.0,44893.0
144,1040442,0.31704,0.315334,43861.0,44344.0
145,1040443,0.319353,0.315367,43071.0,44336.0
146,1040444,0.31643,0.313693,44047.0,45089.0
147,1040445,0.304376,0.310905,48521.0,45945.0
148,1040446,0.319375,0.314232,43047.0,44779.0
149,1040480,0.317299,0.315451,43759.0,42669.0
150,1040481,0.318418,0.318365,43455.0,43050.0
151,1040601,0.31069,0.317771,46073.0,41758.0
152,1040602,0.310675,0.31717,46078.0,42286.0
153,1050106,0.305969,0.314629,47807.0,43882.0
154,1050107,0.307677,0.308345,47180.0,46987.0
155,1050108,0.30549,0.314355,47975.0,43840.0
156,1050109,0.305334,0.308867,48017.0,46840.0
157,1050110,0.306392,0.308722,47632.0,46857.0
158,1050111,0.305401,0.306465,48070.0,47772.0
159,1050112,0.306784,0.308564,47531.0,46911.0
160,1050113,0.310786,0.309335,46123.0,46614.0
161,1050114,0.315274,0.314263,44456.0,44792.0
162,1050115,0.310467,0.309955,46234.0,46469.0
163,1050116,0.307697,0.30799,47176.0,47202.0
164,1050117,0.306559,0.310138,47612.0,46329.0
165,1050120,0.304634,0.309206,48393.0,46596.0
166,1050132,0.312731,0.312624,45352.0,45437.0
167,1050408,0.30549,0.309381,47975.0,46784.0
168,1050412,0.305293,0.308732,48042.0,46869.0
169,1050413,0.305969,0.310223,47807.0,46179.0
170,1050414,0.306022,0.309632,47782.0,46503.0
171,1050415,0.310786,0.309434,46123.0,46579.0
172,1050416,0.310467,0.308678,46234.0,46842.0
173,1050417,0.311488,0.308868,45854.0,46777.0
174,1050432,0.312731,0.313086,45352.0,45380.0
175,1050439,0.309957,0.314922,46363.0,44603.0
176,1060102,0.306088,0.310175,47771.0,46285.0
177,1060103,0.306036,0.308532,47794.0,46922.0
178,1070102,0.302996,0.305933,48869.0,47923.0
179,1070103,0.302862,0.303566,48924.0,48821.0
180,1070104,0.30438,0.30318,48527.0,48741.0
181,1070105,0.302976,0.30454,48904.0,48272.0
182,1070106,0.305803,0.302589,47961.0,48992.0
