stop_id,gini
1010102,0.297910
1010103,0.299890
1010105,0.302712
1010106,0.303856
1010107,0.307077
1010108,0.307096
1010109,0.308450
1010110,0.309189
1010115,0.297874
1010124,0.306518
1010125,0.307031
1010128,0.306166
1010180,0.299273
1010419,0.299752
1010420,0.299866
1010421,0.301780
1010422,0.301285
1010424,0.298056
1010425,0.298309
1010427,0.307031
1010428,0.306518
1020100,0.305990
1020101,0.306090
1020105,0.309520
1020106,0.306566
1020112,0.304964
1020113,0.304497
1020115,0.305265
1020116,0.304995
1020117,0.305213
1020118,0.304921
1020119,0.304910
1020120,0.304791
1020121,0.304805
1020122,0.304559
1020123,0.304784
1020129,0.306242
1020131,0.306399
1020132,0.306499
1020133,0.306400
1020135,0.306428
1020169,0.306166
1020171,0.306188
1020174,0.305697
1020177,0.305900
1020182,0.304904
1020204,0.304672
1020239,0.306542
1020241,0.306641
1020243,0.306717
1020245,0.307193
1020401,0.303645
1020402,0.303435
1020443,0.305576
1020444,0.305828
1020446,0.303926
1020447,0.304559
1020448,0.302346
1020449,0.304847
1020450,0.306193
1020453,0.305257
1020454,0.305520
1020455,0.305448
1020456,0.304092
1020457,0.303613
1020458,0.303614
1020459,0.306316
1020460,0.306343
1020463,0.304411
1020464,0.304122
1020501,0.305591
1020502,0.307455
1020503,0.307779
1020601,0.305148
1020602,0.305148
1020603,0.303633
1020604,0.303633
1030100,0.300184
1030102,0.304076
1030113,0.304348
1030114,0.300886
1030119,0.304298
1030121,0.303810
1030122,0.303797
1030401,0.304513
1030424,0.300560
1030425,0.300146
1030426,0.300497
1030427,0.300426
1030428,0.304416
1030429,0.304464
1040102,0.306307
1040104,0.304797
1040112,0.311798
1040115,0.313627
1040117,0.307280
1040123,0.307579
1040124,0.309528
1040125,0.310057
1040126,0.312365
1040127,0.311033
1040129,0.309156
1040130,0.312072
1040133,0.316993
1040139,0.315181
1040141,0.315207
1040144,0.312123
1040146,0.312480
1040153,0.315525
1040155,0.319974
1040157,0.319724
1040231,0.316755
1040233,0.317258
1040234,0.316221
1040271,0.310190
1040272,0.313255
1040273,0.310178
1040274,0.310293
1040275,0.310445
1040276,0.310478
1040277,0.310808
1040278,0.310830
1040279,0.310729
1040280,0.311098
1040281,0.311140
1040282,0.311151
1040283,0.311506
1040284,0.311606
1040285,0.311533
1040289,0.315104
1040291,0.308812
1040401,0.306464
1040404,0.320098
1040405,0.320034
1040406,0.316877
1040407,0.317251
1040408,0.311966
1040409,0.311853
1040410,0.306843
1040411,0.307280
1040437,0.304470
1040438,0.306712
1040440,0.308538
1040441,0.314750
1040442,0.317040
1040443,0.319353
1040444,0.316430
1040445,0.304376
1040446,0.319375
1040480,0.317299
1040481,0.318418
1040601,0.310690
1040602,0.310675
1050106,0.305969
1050107,0.307677
1050108,0.305490
1050109,0.305334
1050110,0.306392
1050111,0.305401
1050112,0.306784
1050113,0.310786
1050114,0.315274
1050115,0.310467
1050116,0.307697
1050117,0.306559
1050120,0.304634
1050132,0.312731
1050408,0.305490
1050412,0.305293
1050413,0.305969
1050414,0.306022
1050415,0.310786
1050416,0.310467
1050417,0.311488
1050432,0.312731
1050439,0.309957
1060102,0.306088
1060103,0.306036
1070102,0.302996
1070103,0.302862
1070104,0.304380
1070105,0.302976
1070106,0.305803
1070107,0.303916
1070108,0.304368
1070109,0.303842
1070110,0.303810
1070111,0.303823
1070112,0.303989
1070113,0.301579
1070114,0.304269
1070115,0.301265
1070118,0.306177
1070119,0.306083
1070121,0.304176
1070122,0.304098
1070414,0.304269
1070417,0.301265
1070418,0.301164
1070419,0.302996
1070420,0.302862
1070421,0.304176
1070422,0.304098
1070423,0.306177
1070424,0.306083
1070425,0.303789
1070426,0.303288
1070427,0.304348
1080403,0.296196
1080404,0.296186
1080405,0.296294
1080406,0.296345
1080407,0.296585
1080408,0.296661
1080409,0.296382
1080410,0.296454
1080413,0.296191
1080414,0.296728
1080415,0.296660
1090101,0.300618
1090102,0.300420
