stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
par_5_11,15.731,0.3417,190,16.914,0.076,4.487,124,243,279,19,378,83,1520,177,389,48,58,82,4,57,18,379,27,100,3.594,12.137,0,ATOCHA,40.40659,-3.6893,1675,0.049151308726837,0.0063137445361826,0.1482468140254877,0.5362911117674126,34.182938,33.067057,42362.0,39290.0
par_5_133,3.419,0.7634,38,2.096,8.897,4.511,1,22,28,3,61,4,87,21,51,1,18,15,4,45,5,55,27,26,2.642,0.7770000000000001,1,FUENTE DE LA MORA,40.48475,-3.66282,948,0.0825892811580863,0.003399708596406,0.1237528549104459,0.0792138352811504,30.154688,30.544387,55611.0,57304.0
par_5_142,3.217,0.6082,24,2.055,12.435,8.414,0,13,12,1,53,2,57,14,22,0,0,0,0,0,0,0,0,1,0.442,2.775,2,AEROPUERTO T4,40.49177,-3.59333,148,0.0050255484072126,0.0024283632831471,0.107513967939011,0.0146886918303449,31.486767,30.275103,29058.0,43441.0
par_5_144,4.447,0.7464,32,3.491,10.388,6.242,1,14,17,1,90,2,60,12,13,0,3,3,1,23,0,9,3,1,2.487,1.96,3,VALDEBEBAS,40.4823,-3.61642,137,0.0176246886296065,0.003399708596406,0.1134435261707988,0.0646284482166747,31.393151,30.399761,57333.0,49670.0
par_5_18,6.362,0.4483,69,12.062,7.223,3.202,19,60,57,13,93,20,545,55,106,5,21,22,5,32,9,110,17,41,2.705,3.657,4,CHAMARTÍN,40.4721,-3.68247,2095,0.2314379658794344,0.0043710539096648,0.1383550598037898,0.2798950437716955,33.827892,34.010099,54587.0,58494.0
par_5_25,7.694,0.5816,91,4.901,0.802,5.236,48,107,107,8,226,19,412,76,124,29,62,68,1,79,10,256,40,94,3.112,4.582,5,DELICIAS,40.40037,-3.69277,1639,0.0052281294286649,0.0024283632831471,0.1244860943168077,0.0917571177717834,31.790498,32.15567,40098.0,41049.0
par_5_46,9.76,0.277,138,8.817,1.64,5.488,57,125,140,8,276,36,477,103,143,7,22,19,3,85,3,66,12,22,2.757,7.003,6,MÉNDEZ ÁLVARO,40.39538,-3.67808,1661,0.0127582978012905,0.0043710539096648,0.1353180862250262,0.161838611690461,31.625674,32.619921,39770.0,38492.0
par_5_51,6.884,0.6456,76,6.996,4.377,1.815,33,116,80,24,76,38,718,84,173,6,64,31,15,39,14,233,57,78,3.451,3.4330000000000003,7,NUEVOS MINISTERIOS,40.44662,-3.69234,1798,0.0785932495431725,0.0048567265662943,0.1447248190061151,0.3626547536588568,37.420025,38.680039,60884.0,64299.0
par_5_57,9.918,0.6312,107,21.183,1.906,5.772,63,143,191,9,272,34,636,106,199,30,63,97,6,104,24,301,56,124,3.527,6.390999999999999,8,PIRÁMIDES,40.4026,-3.71134,1823,0.0011214380638721,0.0019426906265177,0.1162816965042073,0.0945106416561566,32.192956,32.419969,39949.0,40173.0
par_5_61,9.018,0.473,114,15.328,3.014,4.916,58,133,178,8,212,35,712,98,227,15,14,18,1,35,6,102,5,11,1.875,7.143000000000001,9,PRÍNCIPE PÍO,40.42107,-3.72026,1539,0.0003612730604687,0.0048567265662943,0.1090398771381666,0.1071295301052251,35.263611,33.105611,45571.0,41113.0
