access_diff,gini_diff_exp,gini_diff_house,walk_sum,gini_walk15,area_difference,ellipticity,distance_betweenness
0,0.015009284930675187,0.008299999999999974,9,0.13580078651945632,1.013,0.9241,7.154
0,0.0187446356979874,0.009399999999999992,9,0.13548907525493117,1.775,0.8772,7.15
0,0.005060580523551239,0.012800000000000006,9,0.12070194005680729,0.3409999999999997,0.425,9.057
0,0.025244408770595445,0.005699999999999983,9,0.15295062028149567,1.4579999999999995,0.6776,6.495
0,0.02509135332008,0.007599999999999996,9,0.14408729281156332,1.7969999999999997,0.5949,6.725
0,-0.015007530278357634,0.021400000000000002,9,0.26018184239671827,9.303999999999998,0.2596,1.025
0,-0.013851552279678714,0.026900000000000007,9,0.26290025035369735,4.001,0.032,1.291
0,0.0036995676937017774,0.011800000000000005,9,0.15001147694529646,7.564,0.4663,4.036
0,0.0032772640196798986,0.014899999999999997,9,0.150331577251968,7.282,0.366,4.027
0,-0.009165851584336748,0.037599999999999995,9,0.2334060218121362,1.852,0.2345,3.379
3,0.020158102567604086,0.023800000000000016,6,0.11362805230009984,0.6139999999999999,0.8776,11.311
-2,0.012070047280061488,0.01680000000000001,6,0.11362379233088153,-0.4689999999999998,0.8842,11.321
1,-0.011869039932327824,0.052800000000000014,7,0.14642033165541385,0.8689999999999998,0.7089,9.325
0,0.01024727753181448,-0.015200000000000019,9,0.10583435084120514,2.937,0.445,10.589
4,0.024567467858013933,0.008300000000000002,5,0.12151812509884442,4.542999999999999,0.5245,13.38
1,3.287858881698136e-5,-0.04979999999999998,6,0.12652117116036504,2.3230000000000004,0.8077,13.379
-2,-0.005736957728796163,0.03820000000000001,8,0.12714653861053035,0.2610000000000001,0.8688,13.46
0,0.0035508560676239392,0.02310000000000001,9,0.12053209414284362,4.324999999999999,0.4161,6.849
0,0.003828773243554587,0.022699999999999998,9,0.12117260888743274,1.0860000000000003,0.5303,6.836
3,0.014219803911278417,-0.031200000000000006,5,0.1121839514530805,-0.0659999999999998,0.7103,10.135
0,-0.0004987625209245949,0.03689999999999999,9,0.23396332757113678,7.758,0.6401,2.03
0,0.019362675916124145,0.017199999999999993,9,0.15159500232084305,7.665999999999999,0.485,4.01
1,-0.009542797270354841,-0.04819999999999999,8,0.13256593560857907,1.335,0.4754,10.312
1,0.005150440880407864,-0.052299999999999985,8,0.15353352672626347,0.0190000000000001,0.897,9.442
1,-0.006424570507771565,-0.05020000000000002,8,0.1479410855542165,-0.3289999999999997,0.856,9.41
0,0.023122334775874026,-0.050699999999999995,9,0.13842189389949042,-0.1469999999999998,0.918,9.484
0,0.0017992762427957165,-0.045400000000000024,9,0.1370457880147766,-0.8599999999999999,0.8812,9.502
1,-0.014529439952585294,-0.04090000000000002,8,0.1533745042101576,-0.4180000000000001,0.8812,9.469
1,-0.013689130835586205,-0.0476,8,0.15253419509315852,-0.508,0.8812,9.442
0,-0.0025069067023178737,0.02510000000000001,9,0.2524258917975059,4.141,0.3903,2.034
0,-0.005981066918567507,0.023400000000000004,9,0.25284412468864703,3.301,0.5069,2.034
0,0.010370351048951065,-0.020500000000000018,9,0.1329176136364264,3.592,0.4373,9.289
0,-0.0249835427830713,0.0131,9,0.180237253358769,8.424999999999999,0.4445,5.744
0,-0.021049658974542085,0.017499999999999988,9,0.17630336955023979,8.238,0.4445,5.764
0,-0.02262646764356177,0.013499999999999984,9,0.17788017821925947,8.312999999999999,0.4445,5.761
0,-0.02270996989584098,0.014700000000000019,9,0.1777931679721248,9.002,0.4034,5.745
0,-0.024410678725201973,0.013000000000000012,9,0.17957828539098067,8.374,0.4431,5.742
0,-0.023661160176574603,0.01369999999999999,9,0.17885329160332586,8.824,0.4121,5.737
0,-0.024894576848371708,0.014399999999999996,9,0.1801482874240695,8.458,0.4583,5.734
0,-0.025173282781726897,0.011999999999999983,9,0.1804269933574246,8.491,0.4445,5.717
0,-0.021956621847465246,0.015600000000000003,9,0.17721033242316295,8.302,0.4445,5.73
0,-0.025694766252753132,0.014899999999999997,9,0.17955163883390143,9.67,0.3019,5.713
1,0.003911212641436845,0.008599999999999997,8,0.21010646949228054,2.66,0.8118,3.193
1,-0.013065849790968753,-0.010200000000000015,8,0.21448223329346622,1.995,0.7127,3.153
0,0.00807051368068401,0.0586,9,0.204541349589403,1.2800000000000002,0.6491,1.998
0,0.008187511867199793,0.06209999999999999,9,0.20392891383970185,1.7430000000000003,0.5994,1.982
0,0.015258804597964679,0.008899999999999991,9,0.11245473410105562,1.2580000000000005,0.7444,8.657
0,0.04022573531281698,-0.0005000000000000004,9,0.14443654667026418,0.9420000000000006,0.645,4.158
0,0.07612736916171231,-0.0032999999999999974,9,0.14398535240498866,0.4860000000000002,0.6987,4.156
0,-0.0020962706485007643,0.006599999999999995,9,0.12102917058912979,4.2330000000000005,0.4147,6.539
0,0.0026033870822086136,0.026400000000000007,9,0.23035075108196276,7.418,0.4899,3.581
0,0.0036749996300218524,0.06290000000000001,9,0.2077786284865135,7.431999999999999,0.3417,1.68
2,0.0024743877871109266,-0.009599999999999997,7,0.12935811804774475,5.104000000000001,0.4846,10.259
4,-0.01593576079680492,-0.029799999999999993,5,0.12988241479462698,3.091,0.5763,10.254
4,0.016941293683198966,-0.023400000000000004,5,0.11453628192105605,5.773,0.501,10.113
4,0.01384956477575515,-0.027700000000000002,5,0.11639854679394047,6.36,0.4397,10.144
