access_diff,gini_diff,walk_sum,weighted_gini_walk,area_difference,ellipticity,distance_betweenness
0,0.004858993415479129,9,0.2979022860297843,1.6150000000000002,0.4129,3.562
1,0.006770923706706178,8,0.299884128970695,0.3730000000000002,0.3024,3.373
1,0.007746445536683189,8,0.3027073854670611,1.706,0.2114,3.237
1,-0.0006648514512646586,8,0.3038515967473773,1.42,0.3057,3.192
1,0.004153778787322093,8,0.3070724309155747,2.171,0.6582,3.082
1,0.003295075374585732,8,0.3070907756824787,3.197,0.4068,3.061
1,0.005479596782448359,8,0.30845000321676685,2.7040000000000006,0.6738,3.166
1,0.0017401303875262397,8,0.3091892096802953,2.526,0.3264,3.148
0,0.005181323803995941,9,0.29786677972016495,1.39,0.4864,3.579
1,0.010236031563615022,8,0.3065052640530266,2.5400000000000005,0.6749,3.004
1,0.012938208007787888,8,0.30701697973491454,3.108,0.6427,2.992
1,0.007269424939205904,8,0.30616148241952945,1.803,0.4366,3.087
0,0.0013326248286030795,9,0.2992629592840447,-1.154,0.0789,3.667
0,0.010356332042998073,9,0.2997418204523241,3.0740000000000003,0.5864,3.432
0,0.018500095470880995,9,0.29985614115687975,3.177,0.625,3.409
0,0.017758994670287354,9,0.30176913234212044,4.878,0.6446,3.216
0,0.010999303868327759,9,0.30127474327365533,3.046,0.536,3.249
0,0.010399629797687215,9,0.29804795901115805,3.284,0.4796,3.584
0,0.0029290408857213235,9,0.29830124012626047,0.92,0.6032,3.577
1,0.013479188245139773,8,0.30701697973491454,6.732999999999999,0.6799,2.992
1,0.008098987913412459,8,0.3065052640530266,2.3170000000000006,0.593,3.004
0,0.00926975943774011,9,0.30597608884975364,9.029,0.4473,3.085
0,0.009186094461039462,9,0.3060728776030561,8.965,0.4191,3.234
1,0.012695404542312716,8,0.30950377850428484,6.304,0.6333,2.863
0,0.01261638352755795,9,0.3065503122835964,2.447,0.6526,3.004
0,0.010248358920023182,9,0.3049502287765769,8.893,0.4427,3.222
0,0.011118878665230425,9,0.30448407297627234,9.295,0.4465,3.231
0,0.011815759389895042,9,0.3052508019822377,10.742,0.4657,3.151
0,0.010732116990721963,9,0.3049814113893092,9.303,0.4454,3.188
0,0.010150718119654734,9,0.3051993974605108,9.019,0.4405,3.16
0,0.010442305683500408,9,0.3049078098966651,9.267,0.4405,3.126
0,0.010923543320408402,9,0.30489669824778215,9.407,0.4389,3.205
0,0.010572995854631617,9,0.3047771197255339,9.118,0.4405,3.164
0,0.010453944711619478,9,0.30479190357587427,9.2,0.4473,3.128
0,0.010868162477376264,9,0.3045456736136338,9.128,0.4417,3.218
0,0.011019016747533361,9,0.3047694121596398,9.348,0.4393,3.164
0,0.009221015103345442,9,0.30622609690679187,9.314,0.4226,3.103
0,0.009631368762266057,9,0.3063835917706102,10.207,0.3855,3.085
