stop_id,weighted_med_inc_multi,weighted_med_inc_walk,percent_change_income,log_change_income,weighted_gini_multi,weighted_gini_walk,percent_change_gini,log_change_gini,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi,entropy_multi,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,entropy_walk,percent_change_entropy,log_change_entropy,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1010102,49133.69958992843,51163.721205257585,-3.967697359590314,-0.04048556528131764,0.30607565850399115,0.3009703696240405,1.6962762435145908,0.016820501288055602,747.0719805675111,1771.9244292693058,1725.3863978521335,1.4951601553334344,529.0417391161316,1328.328827197928,1418.6298644275566,1.4757186514882985,1.3174261791384585,0.013088235932262897,4.357,0.4129,69,1.669,3.562,7.386,75,16,46,3,101,26,593,39,275,51,11,19,2,48,11,382,15,109,2.742,1.6150000000000002,0.0040281014572849,0.006861063464837,0.0923177429515954,0.0168499074769798,1052,60.16946,24.95667,Ritarihuone
1010103,46938.05569264606,50411.73964716634,-6.8906250385975945,-0.07139530901532472,0.31050310476691284,0.3030950943519921,2.444120856115743,0.024147301555973045,959.4824379716645,2171.9577871936135,1560.3841217172221,1.5108614720980884,657.9540625700469,1606.1364134192306,1543.333264966406,1.4910431335631236,1.3291593039032514,0.013204034821742662,2.994,0.3024,51,0.974,3.373,7.197,52,11,34,2,60,11,382,17,124,38,12,19,0,42,8,359,13,87,2.621,0.3730000000000002,0.0013535771541533,0.0017152658662092,0.0863814622756268,0.0,1056,60.17127,24.95657,Kirkkokatu
1010105,44797.56066214322,49264.56730041897,-9.067382264895594,-0.09505141819984825,0.31475026300804776,0.30609526987105307,2.827548802253864,0.027883115589274872,1176.0746907647535,2518.6973967469385,1663.1315767194535,1.516022308343333,814.8502342331808,1948.9885273216391,1699.137254303658,1.5003408131033042,1.0451955384452432,0.010397711342257358,4.244,0.2114,64,1.341,3.237,7.06,65,16,48,2,100,22,546,30,206,38,12,21,0,44,8,336,13,82,2.538,1.706,0.0036478273987984,0.0025728987993138,0.088614613782638,0.0031105719753208,1055,60.17258,24.956554,Vironkatu
1010106,48715.49371841447,48795.504483260986,-0.16397159060822905,-0.0016410617115688885,0.306648588631271,0.3073096359187066,-0.21510789450496426,-0.0021533958385069694,817.2660330820994,1906.1367794458693,1664.1384203908408,1.5046338658370368,880.5707548389181,2090.6903867295346,1775.5156396808873,1.5025639291351776,0.13776030834512773,0.0013766550588914198,3.951,0.3057,56,1.199,3.192,7.02,53,16,44,2,79,18,515,28,186,38,12,25,0,42,8,331,12,83,2.531,1.42,0.0036478273987984,0.0025728987993138,0.088614613782638,0.0031105719753208,1055,60.17299,24.95638,Vironkatu
1010107,45393.69799043425,47426.97066521422,-4.287165396105073,-0.04381778362814899,0.3154032250514023,0.3107460143778925,1.4987193585840244,0.014875995257346106,1022.2423069594385,2239.258885371778,1510.8558286249565,1.5137135835221334,1075.765546801489,2504.1595034215425,1992.517612038261,1.5072071266036513,0.43168963333816945,0.004307605265858302,4.734,0.6582,62,1.685,3.082,6.886,58,14,49,2,100,17,458,29,157,33,13,31,0,39,7,346,10,100,2.563,2.171,0.0153048147400504,0.0025728987993138,0.0967449363526544,0.0045105048876312,1054,60.17418,24.95688,Meritullinkatu
1010108,45128.713746871916,47410.243198451746,-4.8123133265309574,-0.049319594221367426,0.31455343380967854,0.3107616852222219,1.2201467451642853,0.012127629561305421,1117.7682274639978,2431.3599570418132,1704.0671734468838,1.5163264755402075,1077.822228586627,2510.8667952960964,1998.9536692089682,1.5070745684646156,0.613898427402804,0.00612021747695328,5.835,0.4068,130,1.664,3.061,6.881,93,19,67,3,140,34,720,47,305,34,13,31,0,41,7,344,11,100,2.638,3.197,0.0153048147400504,0.0025728987993138,0.0967449363526544,0.0045105048876312,1054,60.174297,24.956514,Meritullinkatu
1010109,44096.99942215534,46945.253604980535,-6.067182439340394,-0.06259036604424444,0.31839617478539595,0.3121949365241655,1.9863353103263468,0.019668650775906397,1114.4901809317653,2379.897689780421,1500.198381235943,1.513662252549215,1121.6836900532842,2613.8362056866918,2007.00345621063,1.5071190266440597,0.4341545551133531,0.004332148231689682,4.972,0.6738,60,1.797,3.166,6.806,54,10,45,2,107,17,415,27,148,31,6,25,0,37,7,250,13,83,2.268,2.7040000000000006,0.0312280666702307,0.0025728987993138,0.1066449550781692,0.0028734505998724,1046,60.17428,24.96071,Liisanpuistikko
1010110,44862.44462997124,46748.35317698632,-4.0341710859313995,-0.04117800669685576,0.31519911182436156,0.3129647533532615,0.7139329420198285,0.0071139650593802315,1140.3866713169987,2451.824836339802,1643.2589070446995,1.516204426872695,1158.6478430858485,2691.711443280884,2082.3591574112124,1.507643260359207,0.5678509458164784,0.005662447499965828,4.764,0.3264,81,1.981,3.148,6.809,69,16,52,2,110,25,576,34,215,29,9,25,0,36,7,248,11,84,2.238,2.526,0.0312280666702307,0.0025728987993138,0.1066449550781692,0.0028734505998724,1046,60.17433,24.96023,Liisanpuistikko
1010115,48668.110612440345,51182.57679292537,-4.912738549014562,-0.050375174399403394,0.3064917928983167,0.3009293077842096,1.8484358187191956,0.018315598871350383,837.6775198983734,1964.6121360506133,1731.4918056351985,1.5032832830059113,523.1454417088997,1317.7346079679721,1409.236401847913,1.4749625262334813,1.9201000885595978,0.01901898786588804,4.07,0.4864,65,1.039,3.579,7.391,72,15,43,2,83,22,554,26,211,50,11,19,2,48,11,374,15,107,2.68,1.39,0.0040281014572849,0.006861063464837,0.0923177429515954,0.0168499074769798,1052,60.16936,24.95698,Ritarihuone
1010124,42310.91983322929,47439.158986632574,-10.810139266693838,-0.11440282177205151,0.3215409831015147,0.3102225227903056,3.6484972816947217,0.035835154782760455,1382.931213374715,2903.8074017314766,1781.6957159701258,1.514168217665945,1094.316613309279,2500.878115388941,2007.6106820582625,1.5101822833087843,0.26393730089506434,0.0026358959807829085,5.578,0.6749,128,2.227,3.004,6.993,79,18,62,2,148,29,691,44,281,48,15,33,0,56,13,448,14,142,3.038,2.5400000000000005,0.051918717246279,0.0042881646655231,0.106449563075461,0.0064469668407563,1024,60.17401,24.95236,Snellmaninkatu
