stop_id,weighted_net_income_hh_multi,weighted_net_income_hh_walk,percent_change_income,log_change_income,weighted_gini_multi,weighted_gini_walk,percent_change_gini,log_change_gini,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
1,70683.79362353082,89273.73390271181,-20.823527219596112,-0.23349099215251287,39.20398078234374,43.492812073812004,-9.861011709681252,-0.10381739254807519,4.926,0.2814,62,1.421,10.538,9.886,1,10,6,2,49,4,18,22,12,0,3,2,2,13,2,9,7,1,2.212,2.714,Avenida Valdemarín - Blanca De Castilla,40.4701,-3.78288,117,4.000651542417458e-08,0.0009713453132588,0.0656547941711042,0.0020994377252599
100,64596.0074275979,68473.22550808708,-5.662385628425319,-0.05829019601186959,37.08317449533151,36.79697657537805,0.7777756397110339,0.007747665575168937,3.716,0.5714,52,1.006,5.58,1.88,4,76,56,16,54,14,279,46,139,3,65,43,17,45,14,249,52,115,3.576,0.1400000000000001,Padre Damián - Lázaro Galdiano,40.45742,-3.68557,1702,0.0004145335255989,0.0009713453132588,0.0912960581740788,0.0008536760879512
1000,35930.84406510914,34502.54564195618,4.139689975269823,0.040562984742708905,32.00708203922783,32.67260042121742,-2.0369311698783585,-0.020579627015052844,5.768,0.4909,85,1.306,1.997,5.16,18,94,73,8,177,31,163,79,131,8,61,52,5,119,19,117,40,82,3.63,2.138,Puente De Vallecas,40.39807,-3.6694,1658,0.0001435976366336,0.0029140359397765,0.0983003914828606,0.0107645549127035
1001,32105.638303890948,32002.357745220444,0.3227279673977412,0.0032220831842790752,31.91574067088391,33.046977668713346,-3.4231178692640793,-0.03483078882693535,4.149,0.6567,58,0.795,2.285,5.318,10,70,47,4,111,27,95,53,72,9,53,38,5,117,21,84,37,61,3.576,0.573,Junta Municipal Puente De Vallecas,40.39676,-3.66646,1656,2.870780576700049e-05,0.0014570179698882,0.0900424192067171,0.0022900619709351
1002,36395.710278520346,31667.007053664736,14.932586514545173,0.13917556626894137,32.20439477631185,33.06068414102855,-2.590053372954978,-0.026241859126073037,4.709,0.6266,61,1.085,2.32,5.321,18,80,65,7,141,26,146,67,108,9,55,37,4,116,21,78,40,53,3.555,1.1539999999999997,Junta Municipal Puente De Vallecas,40.39676,-3.66598,1656,2.870780576700049e-05,0.0014570179698882,0.0900424192067171,0.0022900619709351
1003,30469.281861402796,29214.152561007573,4.296305695584191,0.04206575540652171,31.56703447555753,32.933865822080726,-4.150230507123747,-0.042388121372816716,4.826,0.5286,63,1.576,2.612,5.527,9,76,46,4,122,29,94,56,67,5,54,34,3,106,23,63,45,41,3.67,1.1559999999999997,Nueva Numancia,40.3951,-3.66326,1654,6.6769019281327984e-06,0.0009713453132588,0.0831784762058657,0.0004822681730409
1004,33731.96081854927,29384.433163855127,14.795342930221638,0.1379807302646034,32.286071254623366,32.98128915315505,-2.107916083277727,-0.021304498589908093,4.163,0.7152,57,0.897,2.589,5.497,15,73,50,6,117,25,111,58,84,5,52,33,3,110,23,63,45,41,3.649,0.5140000000000002,Nueva Numancia,40.39536,-3.66338,1654,6.6769019281327984e-06,0.0009713453132588,0.0831784762058657,0.0004822681730409
1005,28877.289061454183,28068.258382651187,2.8823686449425465,0.02841609761237529,31.369379689628122,32.682657138054914,-4.018270126811821,-0.041012326453184804,4.695,0.5774,57,1.119,2.848,5.684,5,71,38,3,121,28,85,55,45,6,54,30,1,91,24,53,47,37,3.671,1.0240000000000005,Avenida De La Albufera - Sierra Del Cadi,40.39391,-3.66096,1669,1.0367914805317069e-05,0.0019426906265177,0.082694084099763,0.0013825043973539
1006,31566.843593761776,28128.995060458223,12.221725397279624,0.11530641934824058,31.75113691754819,32.668987429249796,-2.8095468636405254,-0.028497698107210177,4.868,0.6417,64,1.305,2.848,5.668,10,79,52,4,133,30,110,61,80,6,56,30,1,91,24,54,47,37,3.681,1.1870000000000005,Avenida De La Albufera - Sierra Del Cadi,40.39408,-3.66082,1669,1.0367914805317069e-05,0.0019426906265177,0.082694084099763,0.0013825043973539
1007,29173.13589677201,27194.756904456764,7.274854484876913,0.07022408842040574,31.01899790652138,32.298847157428796,-3.962523011020369,-0.040431685398900075,5.553,0.5345,71,1.388,3.156,5.899,5,78,40,3,137,31,87,65,47,6,53,25,1,90,22,46,49,34,3.607,1.946,Portazgo - Estadio De Vallecas,40.39234,-3.65795,1669,1.0367914805317069e-05,0.0019426906265177,0.082694084099763,0.0013825043973539
